0,0,0,0,560,30
0,0,0,560,560,30
0,0,560,560,560,30
0,560,560,560,560,30
560,560,560,560,559,30
560,560,560,559,560,30
560,560,559,560,560,30
560,559,560,560,560,30
559,560,560,560,560,30
560,560,560,560,561,30
560,560,560,561,560,30
560,560,561,560,561,30
560,561,560,561,563,30
561,560,561,563,564,30
560,561,563,564,564,30
561,563,564,564,562,30
563,564,564,562,561,30
564,564,562,561,563,30
564,562,561,563,563,30
562,561,563,563,565,30
561,563,563,565,564,30
563,563,565,564,561,30
563,565,564,561,561,30
565,564,561,561,562,30
564,561,561,562,564,30
561,561,562,564,562,30
561,562,564,562,559,30
562,564,562,559,560,30
564,562,559,560,563,30
562,559,560,563,564,30
559,560,563,564,566,30
560,563,564,566,566,30
563,564,566,566,562,30
564,566,566,562,563,30
566,566,562,563,562,30
566,562,563,562,566,30
562,563,562,566,566,30
563,562,566,566,560,30
562,566,566,560,561,30
566,566,560,561,562,30
566,560,561,562,565,30
560,561,562,565,566,30
561,562,565,566,563,30
562,565,566,563,561,30
565,566,563,561,560,30
566,563,561,560,564,30
563,561,560,564,565,30
561,560,564,565,565,30
560,564,565,565,562,30
564,565,565,562,561,30
565,565,562,561,562,30
565,562,561,562,563,30
562,561,562,563,565,30
561,562,563,565,563,30
562,563,565,563,563,30
563,565,563,563,564,30
565,563,563,564,567,30
563,563,564,567,568,30
563,564,567,568,565,30
564,567,568,565,0,30
0,0,0,0,570,30
0,0,0,570,570,30
0,0,570,570,569,30
0,570,570,569,569,30
570,570,569,569,569,30
570,569,569,569,569,30
569,569,569,569,570,30
569,569,569,570,569,30
569,569,570,569,569,30
569,570,569,569,569,30
570,569,569,569,568,30
569,569,569,568,568,30
569,569,568,568,568,30
569,568,568,568,568,30
568,568,568,568,568,30
568,568,568,568,568,30
568,568,568,568,567,30
568,568,568,567,567,30
568,568,567,567,565,30
568,567,567,565,565,30
567,567,565,565,564,30
567,565,565,564,565,30
565,565,564,565,569,30
565,564,565,569,568,30
564,565,569,568,565,30
565,569,568,565,567,30
569,568,565,567,566,30
568,565,567,566,568,30
565,567,566,568,570,30
567,566,568,570,568,30
566,568,570,568,565,30
568,570,568,565,566,30
570,568,565,566,567,30
568,565,566,567,569,30
565,566,567,569,568,30
566,567,569,568,565,30
567,569,568,565,566,30
569,568,565,566,567,30
568,565,566,567,570,30
565,566,567,570,570,30
566,567,570,570,566,30
567,570,570,566,568,30
570,570,566,568,570,30
570,566,568,570,0,30
0,0,0,0,564,30
0,0,0,564,566,30
0,0,564,566,564,30
0,564,566,564,564,30
564,566,564,564,564,30
566,564,564,564,562,30
564,564,564,562,562,30
