941,0,2,1,3,1,5,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
12,1176,1,2,0,0,4,0,3,0,4,3,1,0,0,0,1,1,0,0,0,0,0,1,10,45,0,0,0,0,0,0
14,3,730,0,0,0,6,1,2,0,2,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,8,69,5,1,0,0
13,0,1,572,0,0,3,2,2,0,1,0,1,0,0,0,4,0,1,0,2,0,0,2,2,1,0,0,2,0,0,0
16,0,0,0,740,1,2,0,3,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2,0,0,2,1525,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
21,1,5,2,0,1,1300,8,8,0,2,2,2,5,1,1,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1
5,1,3,0,0,0,7,1325,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,8,8,1364,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19,0,0,0,0,0,0,0,1,690,2,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
14,1,1,1,0,0,4,0,0,0,806,7,2,2,0,0,2,0,0,0,0,0,5,1,2,0,0,0,0,0,4,0
18,0,0,0,0,0,0,4,0,2,7,1052,3,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,5,7,816,3,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0
10,2,4,2,0,0,8,2,0,0,5,2,1,1033,1,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,7,0,0,0,0,0,0,0,0,0,0,2,929,1,0,2,2,0,0,0,0,1,1,1,1,61,0,0,0,0
8,0,1,4,0,0,3,0,0,0,1,0,1,0,0,1244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,2,0,0,1,0,2,0,2,2,0,2,0,0,1145,5,1,0,0,0,0,0,1,2,0,0,1,0,1,0
13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,987,3,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,10,1037,0,0,0,0,0,1,5,0,0,0,0,1,0
20,0,1,0,1,0,3,0,1,0,1,0,0,0,0,0,1,0,1,1241,0,0,0,0,0,2,1,0,0,0,1,0
14,0,1,2,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1124,3,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,756,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,796,1,1,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1238,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,707,3,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1061,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,799,0,0,0,0,0
16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,15,0,0,0
18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,1,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,106,0
11,1,0,0,3,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,736,306
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348
